CustomerID,FirstName,LastName,EmailAddress
29898,Sandeep,Katyal,sandeep2@adventure-works.com
29900,Victor,Kelley,victor0@adventure-works.com
29901,John,Kelly,john22@adventure-works.com
29902,Robert,Kelly,robert7@adventure-works.com
29903,Kevin,Kennedy,kevin4@adventure-works.com
29904,Mary,Kesslep,mary8@adventure-works.com
29905,Elizabeth,Keyser,elizabeth2@adventure-works.com
29906,Imtiaz,Khan,imtiaz0@adventure-works.com
29907,Karan,Khanna,karan1@adventure-works.com
29908,Joe,Kim,joe1@adventure-works.com
29910,Shane,Kim,shane2@adventure-works.com
29911,Tim,Kim,tim0@adventure-works.com
29913,Anton,Kirilov,anton0@adventure-works.com
29914,Christian,Kleinerman,christian1@adventure-works.com
29915,Andrew,Kobylinski,andrew5@adventure-works.com
29918,Kirk,King,kirk2@adventure-works.com
29919,Eugene,Kogan,eugene2@adventure-works.com
29920,Scott,Konersmann,scott6@adventure-works.com
29921,Joy,Koski,joy0@adventure-works.com
29922,Pamala,Kotc,pamala0@adventure-works.com
29924,Mitch,Kennedy,mitch0@adventure-works.com
29925,Margaret,Krupka,margaret1@adventure-works.com
29926,Deepak,Kumar,deepak0@adventure-works.com
29928,Vamsi,Kuppa,vamsi1@adventure-works.com
29929,Jeffrey,Kurtz,jeffrey3@adventure-works.com
29930,Peter,Kurniawan,peter4@adventure-works.com
29931,Eric,Lang,eric6@adventure-works.com
29932,Rebecca,Laszlo,rebecca2@adventure-works.com
29934,David,Lawrence,david19@adventure-works.com
29935,Elsa,Leavitt,elsa0@adventure-works.com
29936,Michael,Lee,michael18@adventure-works.com
29937,Marjorie,Lee,marjorie0@adventure-works.com
29938,Frank,Campbell,frank4@adventure-works.com
29939,Mark,Lee,mark5@adventure-works.com
29941,Jolie,Lenehan,jolie0@adventure-works.com
29942,Roger,Lengel,roger1@adventure-works.com
29943,A.,Leonetti,a0@adventure-works.com
29944,Bonnie,Lepro,bonnie2@adventure-works.com
29946,Linda,Leste,linda7@adventure-works.com
